ecosystem_id,ecosystem_name,indication_id,indication_code,indication_name,market_code,year,county_census_population_count,prevalence_volume,incidence_volume,treated_patient_volume,prevalence_rate_per_100k
4000,CA-ECO-000,9001,wet_amd,Wet Age-related Macular Degeneration,OPH,2021,298490,804.5,198.4,375.1,256.15
4000,CA-ECO-000,9001,wet_amd,Wet Age-related Macular Degeneration,OPH,2022,298490,826.5,130.7,338.4,258.71
4000,CA-ECO-000,9001,wet_amd,Wet Age-related Macular Degeneration,OPH,2023,298490,663.3,116.5,433.4,261.3
4000,CA-ECO-000,9001,wet_amd,Wet Age-related Macular Degeneration,OPH,2024,298490,778.2,177.9,284.7,263.91
4000,CA-ECO-000,9001,wet_amd,Wet Age-related Macular Degeneration,OPH,2025,298490,782.7,119.1,464.8,266.55
4000,CA-ECO-000,9002,dme,Diabetic Macular Edema,OPH,2021,298490,1139.6,244.2,481.1,361.6
4000,CA-ECO-000,9002,dme,Diabetic Macular Edema,OPH,2022,298490,1098.7,133.1,549.0,365.22
4000,CA-ECO-000,9002,dme,Diabetic Macular Edema,OPH,2023,298490,1100.1,150.3,767.4,368.87
4000,CA-ECO-000,9002,dme,Diabetic Macular Edema,OPH,2024,298490,1140.2,124.4,707.0,372.56
4000,CA-ECO-000,9002,dme,Diabetic Macular Edema,OPH,2025,298490,1141.4,147.4,624.1,376.29
4000,CA-ECO-000,9003,rvo,Retinal Vein Occlusion,OPH,2021,298490,515.0,57.9,277.0,166.0
4000,CA-ECO-000,9003,rvo,Retinal Vein Occlusion,OPH,2022,298490,511.5,88.3,282.0,167.66
4000,CA-ECO-000,9003,rvo,Retinal Vein Occlusion,OPH,2023,298490,505.8,51.9,192.6,169.34
4000,CA-ECO-000,9003,rvo,Retinal Vein Occlusion,OPH,2024,298490,549.8,94.2,230.9,171.03
4000,CA-ECO-000,9003,rvo,Retinal Vein Occlusion,OPH,2025,298490,471.1,124.4,311.6,172.74
4000,CA-ECO-000,9004,rrms,Relapsing-Remitting Multiple Sclerosis,MS,2021,298490,397.0,94.5,235.0,132.84
4000,CA-ECO-000,9004,rrms,Relapsing-Remitting Multiple Sclerosis,MS,2022,298490,395.7,41.6,149.1,134.17
4000,CA-ECO-000,9004,rrms,Relapsing-Remitting Multiple Sclerosis,MS,2023,298490,413.0,87.1,176.9,135.51
4000,CA-ECO-000,9004,rrms,Relapsing-Remitting Multiple Sclerosis,MS,2024,298490,448.8,119.9,247.1,136.87
4000,CA-ECO-000,9004,rrms,Relapsing-Remitting Multiple Sclerosis,MS,2025,298490,406.7,96.5,283.3,138.24
4000,CA-ECO-000,9005,ppms,Primary Progressive Multiple Sclerosis,MS,2021,298490,84.6,15.1,42.3,28.37
4000,CA-ECO-000,9005,ppms,Primary Progressive Multiple Sclerosis,MS,2022,298490,84.6,21.7,35.8,28.65
4000,CA-ECO-000,9005,ppms,Primary Progressive Multiple Sclerosis,MS,2023,298490,86.9,17.9,49.8,28.94
4000,CA-ECO-000,9005,ppms,Primary Progressive Multiple Sclerosis,MS,2024,298490,86.1,23.3,30.2,29.23
4000,CA-ECO-000,9005,ppms,Primary Progressive Multiple Sclerosis,MS,2025,298490,93.2,13.1,41.2,29.52
4000,CA-ECO-000,9006,hem_a,Hemophilia A,HEM,2021,298490,12.5,3.1,6.4,4.09
4000,CA-ECO-000,9006,hem_a,Hemophilia A,HEM,2022,298490,11.9,1.2,7.5,4.13
4000,CA-ECO-000,9006,hem_a,Hemophilia A,HEM,2023,298490,13.4,3.6,5.0,4.17
4000,CA-ECO-000,9006,hem_a,Hemophilia A,HEM,2024,298490,11.7,2.6,5.8,4.22
4000,CA-ECO-000,9006,hem_a,Hemophilia A,HEM,2025,298490,12.6,2.8,8.6,4.26
4000,CA-ECO-000,9007,sev_asthma,Severe Allergic/Eosinophilic Asthma,RESP,2021,298490,1443.2,155.8,750.2,486.45
4000,CA-ECO-000,9007,sev_asthma,Severe Allergic/Eosinophilic Asthma,RESP,2022,298490,1400.0,235.7,601.8,491.32
4000,CA-ECO-000,9007,sev_asthma,Severe Allergic/Eosinophilic Asthma,RESP,2023,298490,1356.5,186.5,583.8,496.23
4000,CA-ECO-000,9007,sev_asthma,Severe Allergic/Eosinophilic Asthma,RESP,2024,298490,1549.4,214.7,584.0,501.19
4000,CA-ECO-000,9007,sev_asthma,Severe Allergic/Eosinophilic Asthma,RESP,2025,298490,1390.5,202.4,802.3,506.21
4000,CA-ECO-000,9008,her2_bc,HER2-positive Breast Cancer,ONC,2021,298490,134.1,17.5,64.9,43.35
4000,CA-ECO-000,9008,her2_bc,HER2-positive Breast Cancer,ONC,2022,298490,123.9,18.3,81.8,43.79
4000,CA-ECO-000,9008,her2_bc,HER2-positive Breast Cancer,ONC,2023,298490,126.0,27.8,57.7,44.22
4000,CA-ECO-000,9008,her2_bc,HER2-positive Breast Cancer,ONC,2024,298490,133.1,13.9,50.0,44.67
4000,CA-ECO-000,9008,her2_bc,HER2-positive Breast Cancer,ONC,2025,298490,129.9,32.8,85.3,45.11
4001,TX-ECO-001,9001,wet_amd,Wet Age-related Macular Degeneration,OPH,2021,441379,807.5,129.5,477.5,189.39
4001,TX-ECO-001,9001,wet_amd,Wet Age-related Macular Degeneration,OPH,2022,441379,944.5,185.1,513.2,191.28
4001,TX-ECO-001,9001,wet_amd,Wet Age-related Macular Degeneration,OPH,2023,441379,818.7,180.1,463.5,193.19
4001,TX-ECO-001,9001,wet_amd,Wet Age-related Macular Degeneration,OPH,2024,441379,826.2,163.3,482.5,195.12
4001,TX-ECO-001,9001,wet_amd,Wet Age-related Macular Degeneration,OPH,2025,441379,930.3,153.9,565.9,197.07
4001,TX-ECO-001,9002,dme,Diabetic Macular Edema,OPH,2021,441379,1482.1,316.0,719.6,340.86
4001,TX-ECO-001,9002,dme,Diabetic Macular Edema,OPH,2022,441379,1539.0,301.2,867.2,344.26
4001,TX-ECO-001,9002,dme,Diabetic Macular Edema,OPH,2023,441379,1547.6,273.9,886.2,347.71
4001,TX-ECO-001,9002,dme,Diabetic Macular Edema,OPH,2024,441379,1651.2,165.2,966.9,351.18
4001,TX-ECO-001,9002,dme,Diabetic Macular Edema,OPH,2025,441379,1530.3,343.7,763.7,354.7
